Gene	Name	TPM.RNA	TPM.Ssd1	ratio.Ssd1.RNA
YNL066W	SUN4	48.141	4462.792	92.702
YIL123W	SIM1	42.073	2656.647	63.144
YKR042W	UTH1	761.884	28523.041	37.437
YOR247W	SRL1	233.169	8391.529	35.989
YDR528W	HLR1	27.145	739.949	27.259
YLR110C	CCW12	4714.486	115226.961	24.441
YDR525W-A	SNA2	53.322	1170.628	21.954
YHR071W	PCL5	246.12	4724.851	19.197
YGR279C	SCW4	201.351	3322.27	16.5
YKL096W-A	CWP2	1753.54	28365.165	16.176
YMR195W	ICY1	257.095	4138.032	16.095
YNR020C	ATP23	23.169	360.317	15.552
YCL051W	LRE1	54.311	812.925	14.968
YGL178W	MPT5	34.625	483.918	13.976
YKL043W	PHD1	107.785	1326.903	12.311
YLR190W	MMR1	64.846	790.739	12.194
YLR286C	CTS1	304.011	3614.123	11.888
YGR146C	ECL1	297.713	3498.398	11.751
YOR383C	FIT3	125.463	1426.152	11.367
YOL026C	MIM1	110.328	1179.208	10.688
YDR527W	RBA50	31.023	314.375	10.133
YNL283C	WSC2	39.538	393.396	9.95
YGL029W	CGR1	25.793	249.902	9.689
YLR297W	NA	28.327	273.649	9.661
YJL158C	CIS3	194.175	1816.899	9.357
YGR203W	YCH1	31.149	281.112	9.025
YFR017C	IGD1	166.636	1485.147	8.913
YER046W	SPO73	28.103	242.886	8.643
YNL197C	WHI3	44.677	370.154	8.285
YJL079C	PRY1	42.598	341.065	8.007
YDR309C	GIC2	51.028	364.038	7.134
YOR174W	MED4	24.19	172.048	7.112
YBR162C	TOS1	116.786	822.797	7.045
YIL042C	PKP1	40.922	281.294	6.874
YML041C	VPS71	32.449	222.514	6.857
YPR138C	MEP3	35.201	237.856	6.757
YBR158W	AMN1	92.485	620.65	6.711
YER039C	HVG1	28.11	188.013	6.689
YOR178C	GAC1	35.821	235.967	6.587
YLR390W-A	CCW14	524.747	3383.567	6.448
YPR065W	ROX1	61.771	397.291	6.432
YNL234W	NA	20.52	130.789	6.374
YJR010W	MET3	20.483	125.035	6.104
YPR140W	TAZ1	58.764	345.15	5.874
YBR194W	AIM4	34.394	201.846	5.869
YBR077C	SLM4	95.007	540.709	5.691
YPL184C	MRN1	46.634	261.41	5.606
YEL061C	CIN8	21.699	121.227	5.587
YJL159W	HSP150	3245.38	18053.881	5.563
YCL005W-A	VMA9	129.783	712.505	5.49
YGL122C	NAB2	129.712	693.899	5.35
YPR036W-A	SPO24	5927.292	31628.944	5.336
YJR120W	NA	153.783	818.666	5.324
YDR247W	VHS1	48.905	256.537	5.246
YNL147W	LSM7	115.938	598.586	5.163
YLR185W	RPL37A	149.831	764.989	5.106
YKL109W	HAP4	29.363	149.733	5.099
YBR171W	SEC66	96.559	487.979	5.054
